,avg_domain_token_length,avg_path_token,avg_token_length,count_of_@,count_of_do,count_of_dot,count_of_exe,count_of_hyphen,count_of_redirect,domain_token_count,google,https,ip_consist,label,largest_domain,largest_path,largest_token,length_of_domain,not_port_80,path_token_count,rank_host,token_count
0,5.25,3.9545454545454546,4.148148148148148,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,8.0,9.0,9.0,24.0,0.0,22.0,0.0,27.0
1,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
2,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
3,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
4,5.2,8.333333333333334,6.363636363636363,0.0,1.0,4.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,10.0,13.0,13.0,30.0,0.0,3.0,0.0,11.0
5,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
6,6.75,8.333333333333334,7.1,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,15.0,13.0,15.0,30.0,0.0,3.0,0.0,10.0
7,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
8,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
9,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
10,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
11,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
12,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
13,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
14,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
15,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
16,6.5,8.333333333333334,7.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,14.0,29.0,0.0,3.0,0.0,10.0
17,6.5,8.333333333333334,7.4,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,13.0,16.0,29.0,0.0,3.0,0.0,10.0
18,4.25,5.0,8.23076923076923,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,8.0,9.0,30.0,20.0,0.0,4.0,0.0,13.0
19,7.5,6.333333333333333,6.333333333333333,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,10.0,12.0,16.0,0.0,3.0,0.0,6.0
20,5.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,10.0,6.0,10.0,17.0,0.0,1.0,0.0,5.0
21,3.0,0.0,3.1666666666666665,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,19.0,1.0,0.0,0.0,6.0
22,6.5,5.833333333333333,5.777777777777778,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,7.0,10.0,14.0,0.0,6.0,0.0,9.0
23,3.5,4.5,4.681818181818182,0.0,0.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,8.0,17.0,8.0,0.0,6.0,0.0,44.0
24,5.0,4.333333333333333,4.571428571428571,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,8.0,7.0,8.0,17.0,0.0,3.0,0.0,7.0
25,4.666666666666667,3.0,4.2,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,8.0,3.0,8.0,16.0,0.0,1.0,0.0,5.0
26,3.6666666666666665,3.5,3.6666666666666665,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0,5.0,6.0,13.0,0.0,2.0,0.0,6.0
27,7.0,5.0,5.333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,7.0,11.0,15.0,0.0,6.0,0.0,9.0
28,6.5,6.888888888888889,6.583333333333333,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,10.0,16.0,16.0,14.0,0.0,9.0,0.0,12.0
29,4.25,5.0,7.857142857142857,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,8.0,9.0,30.0,20.0,0.0,4.0,0.0,14.0
30,4.0,7.0,5.666666666666667,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,20.0,20.0,14.0,0.0,5.0,0.0,9.0
